"","state","PC_name","O.S.N.","Candidate","Party","EVM.Votes","Postal.Votes","Total.Votes","Pct.of.Votes","NA.","NA..1","Migrant.Votes"
"19","Puducherry","Puducherry","19","NOTA","None of the Above","12192","7","12199","1.54",NA,NA,NA
"20","Lakshadweep","Lakshadweep","1","ABDUL KHADER HAJI","Bharatiya Janata Party","103","22","125","0.27",NA,NA,NA
"21","Lakshadweep","Lakshadweep","2","ALI AKBAR K.","Communist Party of India","141","2","143","0.3",NA,NA,NA
"22","Lakshadweep","Lakshadweep","3","MOHAMMED FAIZAL PP","Nationalist Congress Party","22796","55","22851","48.61",NA,NA,NA
"23","Lakshadweep","Lakshadweep","4","SHAREEF KHAN","Communist Party of India  (Marxist)","419","1","420","0.89",NA,NA,NA
"24","Lakshadweep","Lakshadweep","5","HAMDULLAH SAYEED","Indian National Congress","21980","48","22028","46.86",NA,NA,NA
"25","Lakshadweep","Lakshadweep","6","DR. MOHAMMED SADIQUE KP","Janata Dal  (United)","1339","3","1342","2.85",NA,NA,NA
"26","Lakshadweep","Lakshadweep","7","NOTA","None of the Above","99","1","100","0.21",NA,NA,NA
"27","NCT OF Delhi","SOUTH DELHI","1","RAMESH BIDHURI","Bharatiya Janata Party","685789","1225","687014","56.58",NA,NA,NA
"28","NCT OF Delhi","SOUTH DELHI","2","RAGHAV CHADHA","Aam Aadmi Party","319770","201","319971","26.35",NA,NA,NA
"29","NCT OF Delhi","SOUTH DELHI","3","VIJENDER","Indian National Congress","164394","219","164613","13.56",NA,NA,NA
"30","NCT OF Delhi","SOUTH DELHI","4","SIDDHANT GAUTAM","Bahujan Samaj Party","14721","40","14761","1.22",NA,NA,NA
"31","NCT OF Delhi","SOUTH DELHI","5","Aditya Kumar Naveen","Hum Bhartiya Party","3892","0","3892","0.32",NA,NA,NA
"32","NCT OF Delhi","SOUTH DELHI","6","D. K. CHOPRA","All India Forward Bloc","366","1","367","0.03",NA,NA,NA
"33","NCT OF Delhi","SOUTH DELHI","7","JITENDRA SHARMA","Prism","200","0","200","0.02",NA,NA,NA
"34","NCT OF Delhi","SOUTH DELHI","8","DALBIR SINGH MALIK","Voters Party  International","314","0","314","0.03",NA,NA,NA
"35","NCT OF Delhi","SOUTH DELHI","9","DILIP KUMAR","Sanatan Sanskriti Raksha Dal","472","1","473","0.04",NA,NA,NA
"36","NCT OF Delhi","SOUTH DELHI","10","DEEPAK KUMAR","Aapki Apni Party (Peoples)","929","0","929","0.08",NA,NA,NA
"37","NCT OF Delhi","SOUTH DELHI","11","DESH KUMAR","Akhil Bharatiya Jan Sangh","403","0","403","0.03",NA,NA,NA
"38","NCT OF Delhi","SOUTH DELHI","12","NAVANIT","National Youth Party","334","0","334","0.03",NA,NA,NA
"39","NCT OF Delhi","SOUTH DELHI","13","MAHENDER SINGH CHURIYANA","Peoples Party of India (Democratic)","1019","0","1019","0.08",NA,NA,NA
"40","NCT OF Delhi","SOUTH DELHI","14","MATHEWS","Bhartiya Insan Party","1139","0","1139","0.09",NA,NA,NA
"41","NCT OF Delhi","SOUTH DELHI","15","MOHAN KUMAR GUPTA","Mazdoor Kirayedar Vikas Party","969","0","969","0.08",NA,NA,NA
"42","NCT OF Delhi","SOUTH DELHI","16","RAJENDRA PRASAD GUPTA","Parivartan Samaj Party","1897","0","1897","0.16",NA,NA,NA
"43","NCT OF Delhi","SOUTH DELHI","17","RAM KHILAWAN","Proutist Bloc, India","2541","0","2541","0.21",NA,NA,NA
"44","NCT OF Delhi","SOUTH DELHI","18","K. ROSHAN KUMAR","Pyramid Party of India","1399","0","1399","0.12",NA,NA,NA
"45","NCT OF Delhi","SOUTH DELHI","19","SUMAN YADAV","Jai Maha Bharath Party","1531","6","1537","0.13",NA,NA,NA
"46","NCT OF Delhi","SOUTH DELHI","20","SUMEDHA BODH","Jan Samman party","1708","0","1708","0.14",NA,NA,NA
"47","NCT OF Delhi","SOUTH DELHI","21","SOBRAN SINGH CHAUHAN","Rashtriya Rashtrawadi Party","278","0","278","0.02",NA,NA,NA
"48","NCT OF Delhi","SOUTH DELHI","22","SANDEEP GUPTA","Rashtriya Jan  Adhikar Party","370","0","370","0.03",NA,NA,NA
"49","NCT OF Delhi","SOUTH DELHI","23","NAUSHA KHAN","Independent","214","1","215","0.02",NA,NA,NA
"50","NCT OF Delhi","SOUTH DELHI","24","BIRJU NAYAK","Independent","390","0","390","0.03",NA,NA,NA
"51","NCT OF Delhi","SOUTH DELHI","25","ROSHAN KUMAR CHOUDHARY","Independent","731","0","731","0.06",NA,NA,NA
"52","NCT OF Delhi","SOUTH DELHI","26","SUNIL KUMAR","Independent","390","0","390","0.03",NA,NA,NA
"53","NCT OF Delhi","SOUTH DELHI","27","HARSH NATH VERMA","Independent","1104","0","1104","0.09",NA,NA,NA
"54","NCT OF Delhi","SOUTH DELHI","28","NOTA","None of the Above","5247","17","5264","0.43",NA,NA,NA
"55","NCT OF Delhi","WEST DELHI","1","PARVESH SAHIB SINGH VERMA","Bharatiya Janata Party","862058","3590","865648","60.05",NA,NA,NA
"56","NCT OF Delhi","WEST DELHI","2","BALBIR SINGH JAKHAR","Aam Aadmi Party","251504","369","251873","17.47",NA,NA,NA
"57","NCT OF Delhi","WEST DELHI","3","MAHABAL MISHRA","Indian National Congress","286745","417","287162","19.92",NA,NA,NA
"58","NCT OF Delhi","WEST DELHI","4","SITA SARAN SEN","Bahujan Samaj Party","13202","67","13269","0.92",NA,NA,NA
"59","NCT OF Delhi","WEST DELHI","5","KULWINDER SINGH MEHTA","Pyramid Party of India","542","0","542","0.04",NA,NA,NA
"60","NCT OF Delhi","WEST DELHI","6","JANAK RAJ RANA","Akhand Rashtrawadi Party","329","0","329","0.02",NA,NA,NA
"61","NCT OF Delhi","WEST DELHI","7","DAYA NAND VATS","Republican Party of India (A)","379","0","379","0.03",NA,NA,NA
"62","NCT OF Delhi","WEST DELHI","8","DHARAMBIR SINGH","Rashtriya Janshakti Party (Secular)","551","0","551","0.04",NA,NA,NA
"63","NCT OF Delhi","WEST DELHI","9","POONAM UJJAINWAL","Peoples Party of India (Democratic)","928","7","935","0.06",NA,NA,NA
"64","NCT OF Delhi","WEST DELHI","10","PROBIR DUTTA","Satya Bahumat Party","328","1","329","0.02",NA,NA,NA
"65","NCT OF Delhi","WEST DELHI","11","BAIDYANATH SAH","Proutist Bloc, India","467","0","467","0.03",NA,NA,NA
"66","NCT OF Delhi","WEST DELHI","12","MANMOHAN SINGH","Rashtra Nirman Party","444","0","444","0.03",NA,NA,NA
"67","NCT OF Delhi","WEST DELHI","13","VIKASH KUMAR MOHAL","Aapki Apni Party (Peoples)","894","1","895","0.06",NA,NA,NA
"68","NCT OF Delhi","WEST DELHI","14","SHASHI JEET","National Youth Party","718","1","719","0.05",NA,NA,NA
"69","NCT OF Delhi","WEST DELHI","15","SHISH PAL SINGH","Prism","538","0","538","0.04",NA,NA,NA
"70","NCT OF Delhi","WEST DELHI","16","IQBAL SINGH (SONU)","Independent","2181","5","2186","0.15",NA,NA,NA
"71","NCT OF Delhi","WEST DELHI","17","NAVIN CHANDRA DAS","Independent","1706","0","1706","0.12",NA,NA,NA
"72","NCT OF Delhi","WEST DELHI","18","PRAVESH SHARMA","Independent","1755","2","1757","0.12",NA,NA,NA
"73","NCT OF Delhi","WEST DELHI","19","BALBIR SINGH","Independent","1024","0","1024","0.07",NA,NA,NA
"74","NCT OF Delhi","WEST DELHI","20","M. MISHRA","Independent","652","0","652","0.05",NA,NA,NA
"75","NCT OF Delhi","WEST DELHI","21","RAMESH CHAND VERMA","Independent","312","0","312","0.02",NA,NA,NA
"76","NCT OF Delhi","WEST DELHI","22","RAJIV KUMAR","Independent","365","0","365","0.03",NA,NA,NA
"77","NCT OF Delhi","WEST DELHI","23","HARSH VARDHAN SHUKLA","Independent","582","0","582","0.04",NA,NA,NA
"78","NCT OF Delhi","WEST DELHI","24","NOTA","None of the Above","8883","54","8937","0.62",NA,NA,NA
"79","NCT OF Delhi","NORTH WEST DELHI","1","GUGAN SINGH","Aam Aadmi Party","294662","104","294766","21.01",NA,NA,NA
"80","NCT OF Delhi","NORTH WEST DELHI","2","RAJESH LILOTHIA","Indian National Congress","236803","79","236882","16.88",NA,NA,NA
"81","NCT OF Delhi","NORTH WEST DELHI","3","HANS RAJ HANS","Bharatiya Janata Party","847737","926","848663","60.49",NA,NA,NA
"82","NCT OF Delhi","NORTH WEST DELHI","4","ISHWAR MANSUKH ISHU","Satya Bahumat Party","2348","0","2348","0.17",NA,NA,NA
"83","NCT OF Delhi","NORTH WEST DELHI","5","GAURAV BHATIA","Mazdoor Kirayedar Vikas Party","874","0","874","0.06",NA,NA,NA
"84","NCT OF Delhi","NORTH WEST DELHI","6","MADAN LAL BALMIKI","Rashtriya Samrasta Party","1175","0","1175","0.08",NA,NA,NA
"85","NCT OF Delhi","NORTH WEST DELHI","7","RAM KUMAR","Bhartiya Pragatisheel Congress","724","0","724","0.05",NA,NA,NA
"86","NCT OF Delhi","NORTH WEST DELHI","8","SURESH KUMAR","Socialist Janata Party","805","0","805","0.06",NA,NA,NA
"87","NCT OF Delhi","NORTH WEST DELHI","9","ADITI","Independent","1464","0","1464","0.1",NA,NA,NA
"88","NCT OF Delhi","NORTH WEST DELHI","10","CHARAN SINGH ""BABRIK""","Independent","2915","0","2915","0.21",NA,NA,NA
"89","NCT OF Delhi","NORTH WEST DELHI","11","NAVEEN","Independent","2136","0","2136","0.15",NA,NA,NA
"90","NCT OF Delhi","NORTH WEST DELHI","12","NOTA","None of the Above","10199","11","10210","0.73",NA,NA,NA
"91","NCT OF Delhi","NEW DELHI","1","AJAY MAKAN","Indian National Congress","247429","273","247702","26.91",NA,NA,NA
"92","NCT OF Delhi","NEW DELHI","2","BRIJESH GOYAL","Aam Aadmi Party","150203","139","150342","16.33",NA,NA,NA
"93","NCT OF Delhi","NEW DELHI","3","MEENAKASHI LEKHI","Bharatiya Janata Party","503157","1049","504206","54.77",NA,NA,NA
"94","NCT OF Delhi","NEW DELHI","4","UPENDRA","Anjaan Aadmi Party","1280","1","1281","0.14",NA,NA,NA
"95","NCT OF Delhi","NEW DELHI","5","UMESH CHANDRA GAUR","Republican Party of India (A)","284","1","285","0.03",NA,NA,NA
"96","NCT OF Delhi","NEW DELHI","6","JITENDRA RAUT","Akhil Bharatiya Manavata Paksha","404","1","405","0.04",NA,NA,NA
"97","NCT OF Delhi","NEW DELHI","7","NAVEEN KUMAR","Rashtriya Samrasta Party","257","0","257","0.03",NA,NA,NA
"98","NCT OF Delhi","NEW DELHI","8","NILANJAN BANERJEE","Bharat Lok Sewak Party","193","1","194","0.02",NA,NA,NA
"99","NCT OF Delhi","NEW DELHI","9","RAVINDER PAUL SEHGAL","Pyramid Party of India","323","0","323","0.04",NA,NA,NA
"100","NCT OF Delhi","NEW DELHI","10","RAJ KARAN","Corruption Abolition Party","275","0","275","0.03",NA,NA,NA
"101","NCT OF Delhi","NEW DELHI","11","RAJ SHEKHAR GUNTI","Prism","174","0","174","0.02",NA,NA,NA
"102","NCT OF Delhi","NEW DELHI","12","RAJESH SATIYA","Sanatan Sanskriti Raksha Dal","332","1","333","0.04",NA,NA,NA
"103","NCT OF Delhi","NEW DELHI","13","LAL JI","Akhand Rashtrawadi Party","307","0","307","0.03",NA,NA,NA
"104","NCT OF Delhi","NEW DELHI","14","VIRENDRA SINGH BHARAT","Rashtriya Rashtrawadi Party","530","0","530","0.06",NA,NA,NA
"105","NCT OF Delhi","NEW DELHI","15","K SREEKRISHNA","Jammu & Kashmir National Panthers Party","919","1","920","0.1",NA,NA,NA
"106","NCT OF Delhi","NEW DELHI","16","SUNIL","Aapki Apni Party (Peoples)","1159","0","1159","0.13",NA,NA,NA
"107","NCT OF Delhi","NEW DELHI","17","SUNIL KUMAR","Peoples Party of India (Democratic)","1272","0","1272","0.14",NA,NA,NA
"108","NCT OF Delhi","NEW DELHI","18","SWADESH KUMAR OHRI","Atulya Bharat Party","641","0","641","0.07",NA,NA,NA
"109","NCT OF Delhi","NEW DELHI","19","AJAY KUMAR LAL","Independent","639","0","639","0.07",NA,NA,NA
"110","NCT OF Delhi","NEW DELHI","20","AASHISH S SAXENA","Independent","198","0","198","0.02",NA,NA,NA
"111","NCT OF Delhi","NEW DELHI","21","KRIPASHANKAR C PANDEY","Independent","184","0","184","0.02",NA,NA,NA
"112","NCT OF Delhi","NEW DELHI","22","DILIP SINGH KOTHARI","Independent","255","0","255","0.03",NA,NA,NA
"113","NCT OF Delhi","NEW DELHI","23","PRIYANKA","Independent","289","0","289","0.03",NA,NA,NA
"114","NCT OF Delhi","NEW DELHI","24","RAMESH","Independent","200","0","200","0.02",NA,NA,NA
"115","NCT OF Delhi","NEW DELHI","25","SREE NIVASAN RAMAMOORTHY","Independent","237","1","238","0.03",NA,NA,NA
"116","NCT OF Delhi","NEW DELHI","26","SURESH KUMAR","Independent","721","0","721","0.08",NA,NA,NA
"117","NCT OF Delhi","NEW DELHI","27","HARKRISHAN DAS NIJHAWAN","Independent","609","1","610","0.07",NA,NA,NA
"118","NCT OF Delhi","NEW DELHI","28","NOTA","None of the Above","6585","16","6601","0.72",NA,NA,NA
"119","NCT OF Delhi","EAST DELHI","1","ARVINDER SINGH LOVELY","Indian National Congress","304718","216","304934","24.24",NA,NA,NA
"120","NCT OF Delhi","EAST DELHI","2","ATISHI","Aam Aadmi Party","219156","172","219328","17.44",NA,NA,NA
"121","NCT OF Delhi","EAST DELHI","3","GAUTAM GAMBHIR","Bharatiya Janata Party","695109","1047","696156","55.35",NA,NA,NA
"122","NCT OF Delhi","EAST DELHI","4","SANJAY KUMAR","Bahujan Samaj Party","19033","57","19090","1.52",NA,NA,NA
"123","NCT OF Delhi","EAST DELHI","5","AJAY CHAUDHARY","Aapki Apni Party (Peoples)","1282","0","1282","0.1",NA,NA,NA
"124","NCT OF Delhi","EAST DELHI","6","ANUPAM TRIPATHI","Bhartiya Kisan Party","288","1","289","0.02",NA,NA,NA
"125","NCT OF Delhi","EAST DELHI","7","AMANULLAH AHMED","Bhartiya Insan Party","512","0","512","0.04",NA,NA,NA
"126","NCT OF Delhi","EAST DELHI","8","DR. KRISHAN SINGH CHAUHAN","Peoples Party of India (Democratic)","643","0","643","0.05",NA,NA,NA
"127","NCT OF Delhi","EAST DELHI","9","DEEPTI NADELLA","Pyramid Party of India","323","0","323","0.03",NA,NA,NA
"128","NCT OF Delhi","EAST DELHI","10","D. DURGA PRASAD","Challengers Party","274","0","274","0.02",NA,NA,NA
"129","NCT OF Delhi","EAST DELHI","11","NEERU MONGIA","Prism","255","0","255","0.02",NA,NA,NA
"130","NCT OF Delhi","EAST DELHI","12","MUKESH JADLY","Uttarakhand Pragatisheel Party","943","0","943","0.07",NA,NA,NA
"131","NCT OF Delhi","EAST DELHI","13","MOHAN LAL SHARMA","Satya Bahumat Party","352","0","352","0.03",NA,NA,NA
"132","NCT OF Delhi","EAST DELHI","14","MANJEET SINGH","Rashtra Nirman Party","634","0","634","0.05",NA,NA,NA
"133","NCT OF Delhi","EAST DELHI","15","MANJU CHHIBBER","Republican Party of India (A)","503","0","503","0.04",NA,NA,NA
"134","NCT OF Delhi","EAST DELHI","16","SATISH KUMAR PRAJAPATI","Mazdoor Kirayedar Vikas Party","1239","0","1239","0.1",NA,NA,NA
"135","NCT OF Delhi","EAST DELHI","17","SURENDER GUPTA","National Apni Party","1044","0","1044","0.08",NA,NA,NA
"136","NCT OF Delhi","EAST DELHI","18","HAFIZ BURHANUDDIN","The National Road Map Party of India","699","0","699","0.06",NA,NA,NA
"137","NCT OF Delhi","EAST DELHI","19","HITESH KUMAR","Jai Prakash Janata Dal","937","0","937","0.07",NA,NA,NA
"138","NCT OF Delhi","EAST DELHI","20","ASHOK SURANA","Independent","650","0","650","0.05",NA,NA,NA
"139","NCT OF Delhi","EAST DELHI","21","MANOJ KUMAR GUPTA","Independent","496","0","496","0.04",NA,NA,NA
"140","NCT OF Delhi","EAST DELHI","22","RAVI KUMAR","Independent","328","0","328","0.03",NA,NA,NA
"141","NCT OF Delhi","EAST DELHI","23","RAHIMUDDIN SHAH","Independent","318","0","318","0.03",NA,NA,NA
"142","NCT OF Delhi","EAST DELHI","24","RAJ KUMAR DHINGIYA","Independent","586","0","586","0.05",NA,NA,NA
"143","NCT OF Delhi","EAST DELHI","25","SHIV KUMAR","Independent","408","0","408","0.03",NA,NA,NA
"144","NCT OF Delhi","EAST DELHI","26","HARBALWINDER SINGH","Independent","677","1","678","0.05",NA,NA,NA
"145","NCT OF Delhi","EAST DELHI","27","NOTA","None of the Above","4907","13","4920","0.39",NA,NA,NA
"146","NCT OF Delhi","NORTH EAST DELHI","1","DILIP PANDEY","Aam Aadmi Party","190586","270","190856","13.06",NA,NA,NA
"147","NCT OF Delhi","NORTH EAST DELHI","2","MANOJ TIWARI","Bharatiya Janata Party","785262","2537","787799","53.9",NA,NA,NA
"148","NCT OF Delhi","NORTH EAST DELHI","3","RAJVEER SINGH","Bahujan Samaj Party","37630","201","37831","2.59",NA,NA,NA
"149","NCT OF Delhi","NORTH EAST DELHI","4","SHEILA DIKSHIT","Indian National Congress","421293","404","421697","28.85",NA,NA,NA
"150","NCT OF Delhi","NORTH EAST DELHI","5","AJAY BHAI","Right to Recall Party","1822","0","1822","0.12",NA,NA,NA
"151","NCT OF Delhi","NORTH EAST DELHI","6","ANURUDDH KUMAR DUBE","Bharat Lok Sewak Party","419","0","419","0.03",NA,NA,NA
"152","NCT OF Delhi","NORTH EAST DELHI","7","ABHINAV KUMAR","Sanyukt Vikas Party","309","0","309","0.02",NA,NA,NA
"153","NCT OF Delhi","NORTH EAST DELHI","8","AMIT KUMAR SHARMA","Sanjhi Virasat Party","419","0","419","0.03",NA,NA,NA
"154","NCT OF Delhi","NORTH EAST DELHI","9","J. K. JAIN","Jai Prakash Janata Dal","456","0","456","0.03",NA,NA,NA
"155","NCT OF Delhi","NORTH EAST DELHI","10","DAN BAHADUR YADAV","Bhartiya Janta Dal (Integrated)","434","1","435","0.03",NA,NA,NA
"156","NCT OF Delhi","NORTH EAST DELHI","11","D. Durga Prasad","Challengers Party","684","0","684","0.05",NA,NA,NA
"157","NCT OF Delhi","NORTH EAST DELHI","12","PRADESH KUMAR","Sarvodaya Prabhat Party","740","0","740","0.05",NA,NA,NA
"158","NCT OF Delhi","NORTH EAST DELHI","13","MAHENDER PASWAN","Mazdoor Kirayedar Vikas Party","792","0","792","0.05",NA,NA,NA
"159","NCT OF Delhi","NORTH EAST DELHI","14","MUKESH","Aapki Apni Party (Peoples)","1472","3","1475","0.1",NA,NA,NA
"160","NCT OF Delhi","NORTH EAST DELHI","15","MANAGER CHAURASIYA","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","1749","0","1749","0.12",NA,NA,NA
"161","NCT OF Delhi","NORTH EAST DELHI","16","MOHD. IRFAN","Bharat Prabhat Party","1746","0","1746","0.12",NA,NA,NA
"162","NCT OF Delhi","NORTH EAST DELHI","17","SUNIL VISHVAKARMA","Ambedkar National Congress","2147","1","2148","0.15",NA,NA,NA
"163","NCT OF Delhi","NORTH EAST DELHI","18","MOHD. HASAN","Republican Party of India (A)","1342","1","1343","0.09",NA,NA,NA
"164","NCT OF Delhi","NORTH EAST DELHI","19","MD. AKRAM","Independent","805","0","805","0.06",NA,NA,NA
"165","NCT OF Delhi","NORTH EAST DELHI","20","ANIL KUMAR YADAV","Independent","1242","0","1242","0.08",NA,NA,NA
"166","NCT OF Delhi","NORTH EAST DELHI","21","AMRENDER KUMAR","Independent","531","0","531","0.04",NA,NA,NA
"167","NCT OF Delhi","NORTH EAST DELHI","22","MAHFOOZ KHAN","Independent","302","0","302","0.02",NA,NA,NA
"168","NCT OF Delhi","NORTH EAST DELHI","23","YOGESH SWAMY","Independent","544","0","544","0.04",NA,NA,NA
"169","NCT OF Delhi","NORTH EAST DELHI","24","S N SINGH","Independent","742","0","742","0.05",NA,NA,NA
"170","NCT OF Delhi","NORTH EAST DELHI","25","NOTA","None of the Above","4578","11","4589","0.31",NA,NA,NA
"171","NCT OF Delhi","CHANDNI CHOWK","1","JAI PRAKASH AGARWAL","Indian National Congress","290689","221","290910","29.67",NA,NA,NA
"172","NCT OF Delhi","CHANDNI CHOWK","2","PANKAJ KUMAR GUPTA","Aam Aadmi Party","144447","104","144551","14.74",NA,NA,NA
"173","NCT OF Delhi","CHANDNI CHOWK","3","SHAHID ALI","Bahujan Samaj Party","9013","13","9026","0.92",NA,NA,NA
"174","NCT OF Delhi","CHANDNI CHOWK","4","HARSH VARDHAN","Bharatiya Janata Party","517939","1116","519055","52.94",NA,NA,NA
"175","NCT OF Delhi","CHANDNI CHOWK","5","ANIL KUMAR","Rashtriya Rashtrawadi Party","1436","0","1436","0.15",NA,NA,NA
"176","NCT OF Delhi","CHANDNI CHOWK","6","ASHOK KUMAR","Republican Party of India (A)","273","0","273","0.03",NA,NA,NA
"177","NCT OF Delhi","CHANDNI CHOWK","7","INDER SEN","Rashtriya Samrasta Party","216","0","216","0.02",NA,NA,NA
"178","NCT OF Delhi","CHANDNI CHOWK","8","MOHD. IRFAN JAVED QURESHI","Ekta Samaj Party","1270","0","1270","0.13",NA,NA,NA
"179","NCT OF Delhi","CHANDNI CHOWK","9","KAMAL KISHOR","Peoples Party of India (Democratic)","331","1","332","0.03",NA,NA,NA
"180","NCT OF Delhi","CHANDNI CHOWK","10","DEEPTI CHOPRA","Prism","233","0","233","0.02",NA,NA,NA
"181","NCT OF Delhi","CHANDNI CHOWK","11","DHEER SINGH","Rashtriya Jansambhavna Party","249","0","249","0.03",NA,NA,NA
"182","NCT OF Delhi","CHANDNI CHOWK","12","RAVINDRA","Kanshiram Bahujan Dal","369","0","369","0.04",NA,NA,NA
"183","NCT OF Delhi","CHANDNI CHOWK","13","RICHA KATIYAR KANAUJIA","Right to Recall Party","474","1","475","0.05",NA,NA,NA
"184","NCT OF Delhi","CHANDNI CHOWK","14","VISHAL KHANNA","Sanatan Sanskriti Raksha Dal","485","0","485","0.05",NA,NA,NA
"185","NCT OF Delhi","CHANDNI CHOWK","15","VIRENDER PRATAP SINGH","Aapki Apni Party (Peoples)","741","3","744","0.08",NA,NA,NA
"186","NCT OF Delhi","CHANDNI CHOWK","16","SHARESTHA ARORA","Mazdoor Kirayedar Vikas Party","1143","0","1143","0.12",NA,NA,NA
"187","NCT OF Delhi","CHANDNI CHOWK","17","SATDEV JAIN","Proutist Bloc, India","1215","0","1215","0.12",NA,NA,NA
"188","NCT OF Delhi","CHANDNI CHOWK","18","SAMEER MIRZA","Bharat Prabhat Party","423","1","424","0.04",NA,NA,NA
"189","NCT OF Delhi","CHANDNI CHOWK","19","SUMAN DEVI","Bharat Lok Sewak Party","236","0","236","0.02",NA,NA,NA
"190","NCT OF Delhi","CHANDNI CHOWK","20","SOHAN LAL SHARMA","Rashtra Nirman Party","501","0","501","0.05",NA,NA,NA
"191","NCT OF Delhi","CHANDNI CHOWK","21","SAURABH RANJAN","Pyramid Party of India","243","0","243","0.02",NA,NA,NA
"192","NCT OF Delhi","CHANDNI CHOWK","22","JUGAL KISHOR","Independent","268","0","268","0.03",NA,NA,NA
"193","NCT OF Delhi","CHANDNI CHOWK","23","PANKAJ GUPTA","Independent","670","0","670","0.07",NA,NA,NA
"194","NCT OF Delhi","CHANDNI CHOWK","24","FARHA DEEBA","Independent","241","0","241","0.02",NA,NA,NA
"195","NCT OF Delhi","CHANDNI CHOWK","25","MUNNA LAL","Independent","393","0","393","0.04",NA,NA,NA
"196","NCT OF Delhi","CHANDNI CHOWK","26","RAVI KUMAR","Independent","299","0","299","0.03",NA,NA,NA
"197","NCT OF Delhi","CHANDNI CHOWK","27","NOTA","None of the Above","5124","9","5133","0.52",NA,NA,NA
"198","Daman & Diu","Daman & diu","1","KETAN DAHYABHAI PATEL","Indian National Congress","27643","12","27655","31.62",NA,NA,NA
"199","Daman & Diu","Daman & diu","2","LALUBHAI BABUBHAI PATEL","Bharatiya Janata Party","37586","11","37597","42.98",NA,NA,NA
"200","Daman & Diu","Daman & diu","3","SAKIL LATIF KHAN","Bahujan Samaj Party","790","2","792","0.91",NA,NA,NA
"201","Daman & Diu","Daman & diu","4","PATEL UMESHBHAI BABUBHAI","Independent","19935","3","19938","22.79",NA,NA,NA
"202","Daman & Diu","Daman & diu","5","NOTA","None of the Above","1487","0","1487","1.7",NA,NA,NA
"203","Dadra & Nagar Haveli","Dadra And Nagar Haveli","1","TOKIYA PRABHUBHAI","Indian National Congress","8608","0","8608","4.33",NA,NA,NA
"204","Dadra & Nagar Haveli","Dadra And Nagar Haveli","2","DONGARKAR ISHWARBHAI GOPJIBHAI","Bahujan Samaj Party","948","0","948","0.48",NA,NA,NA
"205","Dadra & Nagar Haveli","Dadra And Nagar Haveli","3","PATEL NATUBHAI GOMANBHAI","Bharatiya Janata Party","81384","36","81420","40.92",NA,NA,NA
"206","Dadra & Nagar Haveli","Dadra And Nagar Haveli","4","JANATHIYA PRAVINBHAI LADAKBHAI","Bahujan Mukti Party","1596","0","1596","0.8",NA,NA,NA
"207","Dadra & Nagar Haveli","Dadra And Nagar Haveli","5","PATEL ANKITA AMRUTBHAI","Shivsena","4000","0","4000","2.01",NA,NA,NA
"208","Dadra & Nagar Haveli","Dadra And Nagar Haveli","6","BHIKHLABHAI VANSABHAI KHULAT","Bhartiya Tribal Party","843","0","843","0.42",NA,NA,NA
