"survey_date","survey_state","ID_GBIP","gender","age_cat","income_level","religion","education_level","jati","turnout","turnout_14","PC_vote_choice","PC_vote_choice_14","Source","weeks"
"2019-05-10","(32) Kerala 32","1.187.244.228","(2) Female 2","(34-44]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",2
"2019-04-08",NA,"1.187.244.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",6
"2019-03-12","(09) Uttar Pradesh 09","1.187.249.104","(2) Female 2","(24-34]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(4) Scheduled Castes (SC) 4",1,1,"NDA","NDA","SubjectPool",10
"2019-04-15","(10) Bihar 10","1.187.249.189","(2) Female 2","(34-44]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"Other","UPA","SubjectPool",5
"2019-04-01",NA,"1.187.251.79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",7
"2019-03-18","(27) Maharashtra 27","1.187.3.48","(2) Female 2","(34-44]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","NDA","AMechTurk",9
"2019-04-30","(33) Tamil Nadu 33","1.187.4.16","(2) Female 2","(24-34]","(02) ₹60,000 - ₹89,999 02","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"Viduthalai Chiruthaigal Katchi","UPA","AMechTurk",3
"2019-03-08","(27) Maharashtra 27","1.187.58.185","(2) Female 2","(34-44]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,NA,"NDA",NA,"AMechTurk",11
"2019-04-08","(27) Maharashtra 27","1.187.59.127","(2) Female 2","(34-44]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","NDA","AMechTurk",6
"2019-04-25","(27) Maharashtra 27","1.187.61.192","(2) Female 2","(34-44]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","NDA","AMechTurk",4
"2019-04-07","(09) Uttar Pradesh 09","1.187.80.68","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2",0,1,NA,"Aam Aadmi Party","SubjectPool",7
"2019-04-07","(23) Madhya Pradesh 23","1.187.81.231","(2) Female 2","(24-34]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2",1,1,"NDA","NDA","SubjectPool",7
"2019-03-29","(23) Madhya Pradesh 23","1.187.82.225","(2) Female 2","(17-24]","(04) ₹1,20,000 - ₹2,39,999 04","(2) Muslim 2","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2",1,1,"UPA","UPA","AMechTurk",8
"2019-05-16","(27) Maharashtra 27","1.187.97.63","(2) Female 2","(44-54]","(03) ₹90,000 - ₹1,19,999 03","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",1
"2019-02-25","(29) Karnataka 29","1.22.151.178","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05",NA,NA,NA,"NDA",NA,"AMechTurk",12
"2019-03-26",NA,"1.22.175.182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-04-30","(33) Tamil Nadu 33","1.22.181.194","(2) Female 2","(44-54]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","NDA","AMechTurk",3
"2019-03-12",NA,"1.22.221.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",10
"2019-04-07","(07) Delhi 07","1.22.29.158","(1) Male 1","(24-34]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",NA,NA,NA,NA,"SubjectPool",7
"2019-03-12","(06) Haryana 06","1.22.39.240","(1) Male 1","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","NDA","SubjectPool",10
"2019-03-08","(09) Uttar Pradesh 09","1.22.79.234","(1) Male 1","(24-34]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",NA,0,"UPA",NA,"SubjectPool",11
"2019-05-03","(24) Gujarat 24","1.22.97.156","(2) Female 2","(24-34]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"NDA","NDA","AMechTurk",3
"2019-04-08",NA,"1.23.148.125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",6
"2019-05-10","(33) Tamil Nadu 33","1.23.163.165","(2) Female 2","(44-54]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",NA,NA,NA,NA,"AMechTurk",2
"2019-03-10","(32) Kerala 32","1.23.174.227","(2) Female 2","(34-44]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05",NA,1,1,"UPA","UPA","AMechTurk",11
"2019-02-25","(33) Tamil Nadu 33","1.23.194.199","(2) Female 2","(44-54]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",NA,NA,NA,NA,"AMechTurk",12
"2019-03-23","(27) Maharashtra 27","1.23.195.29","(2) Female 2","(44-54]","(01) Less than ₹60,000 01","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",9
"2019-03-26",NA,"1.23.196.216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-03-27",NA,"1.23.212.223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-03-21","(27) Maharashtra 27","1.23.212.47","(2) Female 2","(44-54]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2",1,1,"NDA","NDA","AMechTurk",9
"2019-05-16","(23) Madhya Pradesh 23","1.23.245.218","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","NDA","AMechTurk",1
"2019-04-05","(27) Maharashtra 27","1.23.252.71","(2) Female 2","(24-34]","(01) Less than ₹60,000 01","(1) Hindu 1","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2",1,1,"NDA","NDA","AMechTurk",7
"2019-03-26",NA,"1.23.253.196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-03-09","(21) Orissa 21","1.23.41.107","(1) Male 1","(34-44]","(06) ₹6,00,000 and over 06","(7) Other 7","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2",NA,NA,NA,NA,"SubjectPool",11
"2019-05-10","(24) Gujarat 24","1.23.99.167","(2) Female 2","(24-34]","(02) ₹60,000 - ₹89,999 02","(2) Muslim 2","(02) Primary or Lower 02","(4) Scheduled Castes (SC) 4",1,0,"Aam Aadmi Party",NA,"AMechTurk",2
"2019-05-09","(24) Gujarat 24","1.23.99.199","(2) Female 2","(24-34]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,0,"Aam Aadmi Party",NA,"AMechTurk",2
"2019-03-09","(24) Gujarat 24","1.38.72.136","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,NA,"NDA",NA,"AMechTurk",11
"2019-04-08",NA,"1.38.81.237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",6
"2019-03-27",NA,"1.38.89.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-03-09","(24) Gujarat 24","1.38.89.93","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(2) Muslim 2","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2",1,1,"NDA","NDA","SubjectPool",11
"2019-04-10",NA,"1.38.93.197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",6
"2019-03-23","(24) Gujarat 24","1.38.93.59","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","NDA","AMechTurk",9
"2019-04-07","(29) Karnataka 29","1.39.129.249","(1) Male 1","(17-24]","(01) Less than ₹60,000 01","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","UPA","SubjectPool",7
"2019-03-26","(18) Assam 18","1.39.130.102","(1) Male 1","(34-44]","(02) ₹60,000 - ₹89,999 02","(1) Hindu 1","(05) Some Graduate or Higher 05",NA,1,1,"NDA","NDA","SubjectPool",8
"2019-03-31",NA,"1.39.130.200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-03-27",NA,"1.39.130.80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-05-09","(29) Karnataka 29","1.39.131.114","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"NDA","NDA","AMechTurk",2
"2019-03-09","(29) Karnataka 29","1.39.134.188","(2) Female 2","(24-34]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,NA,"NDA",NA,"AMechTurk",11
"2019-04-07","(32) Kerala 32","1.39.140.92","(1) Male 1","(34-44]","(06) ₹6,00,000 and over 06","(3) Christian 3","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2",NA,0,NA,NA,"SubjectPool",7
"2019-03-26","(29) Karnataka 29","1.39.144.53","(1) Male 1","(34-44]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","SubjectPool",8
"2019-03-29","(29) Karnataka 29","1.39.147.67","(2) Female 2","(24-34]","(03) ₹90,000 - ₹1,19,999 03","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"NDA","NDA","AMechTurk",8
"2019-04-03","(29) Karnataka 29","1.39.150.229","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(5) Scheduled Tribes (ST) 5",1,1,"NDA","NDA","AMechTurk",7
"2019-04-04",NA,"1.39.150.243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",7
"2019-03-14","(10) Bihar 10","1.39.153.179","(2) Female 2","(24-34]","(03) ₹90,000 - ₹1,19,999 03","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"UPA","Bahujan Samaj Party","SubjectPool",10
"2019-03-08","(29) Karnataka 29","1.39.153.206","(1) Male 1","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(6) Jain 6","(05) Some Graduate or Higher 05",NA,1,NA,"UPA",NA,"SubjectPool",11
"2019-05-16","(29) Karnataka 29","1.39.155.168","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"NDA","NDA","AMechTurk",1
"2019-03-15","(29) Karnataka 29","1.39.157.237","(1) Male 1","(34-44]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,NA,NA,NA,"SubjectPool",10
"2019-03-26","(29) Karnataka 29","1.39.160.115","(1) Male 1","(17-24]","(01) Less than ₹60,000 01","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"NDA","UPA","SubjectPool",8
"2019-04-07","(29) Karnataka 29","1.39.160.245","(1) Male 1","(34-44]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"NDA","UPA","SubjectPool",7
"2019-03-28","(29) Karnataka 29","1.39.160.61","(1) Male 1","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","SubjectPool",8
"2019-03-27","(29) Karnataka 29","1.39.161.46","(2) Female 2","(24-34]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"NDA","NDA","AMechTurk",8
"2019-03-18","(29) Karnataka 29","1.39.162.149","(2) Female 2","(24-34]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"NDA","NDA","AMechTurk",9
"2019-04-09","(29) Karnataka 29","1.39.162.53","(1) Male 1","(34-44]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","SubjectPool",6
"2019-03-30",NA,"1.39.163.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-05-10","(29) Karnataka 29","1.39.170.202","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"NDA","NDA","AMechTurk",2
"2019-03-12","(29) Karnataka 29","1.39.171.129","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"NDA","NDA","AMechTurk",10
"2019-03-26","(29) Karnataka 29","1.39.176.107","(1) Male 1","(24-34]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,NA,NA,NA,"SubjectPool",8
"2019-03-10",NA,"1.39.176.145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",11
"2019-03-26","(29) Karnataka 29","1.39.178.123","(1) Male 1","(34-44]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","UPA","SubjectPool",8
"2019-03-26","(29) Karnataka 29","1.39.181.72","(1) Male 1","(24-34]","(04) ₹1,20,000 - ₹2,39,999 04","(6) Jain 6","(05) Some Graduate or Higher 05",NA,1,0,"NDA",NA,"SubjectPool",8
"2019-04-07","(29) Karnataka 29","1.39.182.145","(2) Female 2","(24-34]","(03) ₹90,000 - ₹1,19,999 03","(2) Muslim 2","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"NDA","NDA","SubjectPool",7
"2019-03-08","(29) Karnataka 29","1.39.188.205","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","SubjectPool",11
"2019-04-30","(29) Karnataka 29","1.39.191.59","(2) Female 2","(34-44]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"NDA","NDA","AMechTurk",3
"2019-03-26","(08) Rajasthan 08","1.39.192.143","(1) Male 1","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05",NA,1,1,"NDA","NDA","SubjectPool",8
"2019-05-03","(08) Rajasthan 08","1.39.196.101","(2) Female 2","(34-44]","(03) ₹90,000 - ₹1,19,999 03","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",3
"2019-03-17","(08) Rajasthan 08","1.39.196.137","(2) Female 2","(24-34]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","SubjectPool",10
"2019-04-12","(08) Rajasthan 08","1.39.208.76","(2) Female 2","(34-44]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",6
"2019-03-29",NA,"1.39.212.229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-03-08","(08) Rajasthan 08","1.39.212.97","(2) Female 2","(24-34]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","SubjectPool",11
"2019-03-09","(08) Rajasthan 08","1.39.232.99","(2) Female 2","(24-34]","(05) ₹2,40,000 - ₹5,99,999 05","(6) Jain 6","(05) Some Graduate or Higher 05",NA,1,1,"UPA","UPA","SubjectPool",11
"2019-03-08",NA,"1.39.245.110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",11
"2019-04-08",NA,"1.39.252.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",6
"2019-03-09","(09) Uttar Pradesh 09","1.39.254.238","(2) Female 2","(17-24]","(06) ₹6,00,000 and over 06","(6) Jain 6","(05) Some Graduate or Higher 05",NA,1,NA,"NDA",NA,"SubjectPool",11
"2019-03-26","(28) Andhra Pradesh 28","1.6.1.148","(2) Female 2","(24-34]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05",NA,NA,1,"Telugu Desam Party","NDA","AMechTurk",8
"2019-04-26","(27) Maharashtra 27","1.6.72.153","(2) Female 2","(24-34]","(03) ₹90,000 - ₹1,19,999 03","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",4
"2019-03-26","(08) Rajasthan 08","101.127.206.16","(2) Female 2","(24-34]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",8
"2019-04-17","(08) Rajasthan 08","101.127.206.18","(2) Female 2","(24-34]","(03) ₹90,000 - ₹1,19,999 03","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",5
"2019-03-19","(08) Rajasthan 08","101.127.206.18","(2) Female 2","(24-34]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",9
"2019-03-12","(08) Rajasthan 08","101.127.206.19","(2) Female 2","(24-34]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",NA,NA,NA,NA,"AMechTurk",10
"2019-04-16","(08) Rajasthan 08","101.127.206.20","(2) Female 2","(24-34]","(03) ₹90,000 - ₹1,19,999 03","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",5
"2019-04-10","(08) Rajasthan 08","101.127.206.22","(2) Female 2","(24-34]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",6
"2019-03-12","(08) Rajasthan 08","101.127.206.59","(2) Female 2","(24-34]","(04) ₹1,20,000 - ₹2,39,999 04","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",10
"2019-04-30","(08) Rajasthan 08","101.127.206.59","(2) Female 2","(24-34]","(03) ₹90,000 - ₹1,19,999 03","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",3
"2019-05-04","(29) Karnataka 29","103.100.37.248","(2) Female 2","(34-44]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",NA,1,"UPA","NDA","AMechTurk",3
"2019-04-08",NA,"103.101.68.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",6
"2019-03-14","(32) Kerala 32","103.101.71.18","(2) Female 2","(34-44]","(05) ₹2,40,000 - ₹5,99,999 05","(3) Christian 3","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2",1,1,"UPA","UPA","SubjectPool",10
"2019-04-07","(19) West Bengal 19","103.102.116.3","(1) Male 1","(24-34]","(02) ₹60,000 - ₹89,999 02","(1) Hindu 1","(05) Some Graduate or Higher 05","(4) Scheduled Castes (SC) 4",1,NA,NA,NA,"SubjectPool",7
"2019-03-26",NA,"103.102.72.109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-04-08","(23) Madhya Pradesh 23","103.103.213.181","(2) Female 2","(34-44]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","NDA","SubjectPool",6
"2019-03-26","(23) Madhya Pradesh 23","103.103.213.193","(2) Female 2","(34-44]","(03) ₹90,000 - ₹1,19,999 03","(1) Hindu 1","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"NDA","NDA","SubjectPool",8
"2019-04-02","(22) Chhattisgarh 22","103.103.215.88","(1) Male 1","(17-24]","(05) ₹2,40,000 - ₹5,99,999 05","(1) Hindu 1","(05) Some Graduate or Higher 05","(6) Others 6",1,1,"NDA","NDA","SubjectPool",7
"2019-03-11","(06) Haryana 06","103.103.56.214","(2) Female 2","(24-34]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","SubjectPool",10
"2019-04-01",NA,"103.103.57.175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",7
"2019-03-29",NA,"103.103.59.232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",8
"2019-03-15",NA,"103.103.59.253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SubjectPool",10
"2019-03-13","(29) Karnataka 29","103.105.225.66","(2) Female 2","(24-34]","(04) ₹1,20,000 - ₹2,39,999 04","(3) Christian 3","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2",1,NA,NA,NA,"SubjectPool",10
"2019-05-16","(33) Tamil Nadu 33","103.106.250.119","(1) Male 1","(34-44]","(06) ₹6,00,000 and over 06","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"Other","NDA","AMechTurk",1
"2019-03-15","(33) Tamil Nadu 33","103.106.250.120","(2) Female 2","(34-44]","(01) Less than ₹60,000 01","(1) Hindu 1","(05) Some Graduate or Higher 05","(1) Brahmin 1",1,1,"NDA","NDA","AMechTurk",10
"2019-03-12","(23) Madhya Pradesh 23","103.106.31.61","(2) Female 2","(34-44]","(04) ₹1,20,000 - ₹2,39,999 04","(7) Other 7","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3",1,1,"UPA","UPA","SubjectPool",10
