"survey_date","survey_state","ID_GBIP","gender","age_cat","income_level","religion","education_level","jati","turnout","turnout_14","PC_vote_choice","PC_vote_choice_14","Source"
"2019-03-08","Uttar Pradesh","49.33.186.141","Female","(17-24]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes",NA,"Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08","Karnataka","223.228.53.201","Male","(34-44]","₹1,20,000 - ₹2,39,999","Christianity","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","India National Congress","India National Congress","SubjectPool"
"2019-03-08","West Bengal","223.191.33.176","Female","(44-54]","₹60,000 - ₹89,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes",NA,NA,NA,"SubjectPool"
"2019-03-08","Bihar","202.41.10.5","Female","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","India National Congress","Aam Aadmi Party","SubjectPool"
"2019-03-08","Jharkhand","27.61.76.219","Male","(17-24]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Not sure at this point in time","No","Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08","Uttar Pradesh","157.40.46.8","Male","(17-24]","₹6,00,000 and over","Jainism","(05) Some Graduate or Higher 05","(6) Others 6","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Tamil Nadu","106.198.32.16","Male","(34-44]","Less than ₹60,000","Christianity","(05) Some Graduate or Higher 05","(6) Others 6","Yes","Yes","Other","Other","SubjectPool"
"2019-03-08","Uttar Pradesh","47.30.203.204","Female","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Maharashtra","157.33.191.126","Female","(34-44]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","No","Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08","Tamil Nadu","171.48.17.189","Female","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(6) Others 6","Yes",NA,NA,NA,"SubjectPool"
"2019-03-08","Uttar Pradesh","132.154.84.23","Male","(17-24]","₹60,000 - ₹89,999","Islam","(05) Some Graduate or Higher 05",NA,"Not sure at this point in time","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Jammu and Kashmir","169.149.46.113","Male","(44-54]","₹60,000 - ₹89,999","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Haryana","106.198.188.79","Male","(54-64]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05",NA,"Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Uttar Pradesh","47.8.136.214","Female","(44-54]","₹2,40,000 - ₹5,99,999","Islam","(05) Some Graduate or Higher 05","(6) Others 6","Not sure at this point in time","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Karnataka","125.99.233.164","Male","(24-34]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Jammu and Kashmir","157.33.136.7","Male","(17-24]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Not sure at this point in time","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08",NA,"117.194.154.78","Male","(17-24]","₹60,000 - ₹89,999","Hinduism","(03) Middle or Secondary 03","(2) Forward/General (except Brahmin) 2","No",NA,"Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08","Haryana","106.223.129.67","Male","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Punjab","157.39.222.47","Female","(24-34]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Not sure at this point in time","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Tamil Nadu","115.99.171.54","Male","(24-34]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Yes","No","Other",NA,"SubjectPool"
"2019-03-08","Kerala","137.97.122.12","Female","(24-34]","₹60,000 - ₹89,999","Christianity","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","India National Congress","India National Congress","SubjectPool"
"2019-03-08","Karnataka","1.39.188.205","Male","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Tamil Nadu","49.207.189.91","Female","(24-34]","₹6,00,000 and over","Islam","(05) Some Graduate or Higher 05","(6) Others 6","Not sure at this point in time","No","India National Congress",NA,"SubjectPool"
"2019-03-08","Rajasthan","106.207.174.64","Female","(24-34]","Less than ₹60,000","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Maharashtra","150.242.198.32","Male","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Yes",NA,"Bahujan Vikas Aghadi",NA,"SubjectPool"
"2019-03-08","Kerala","42.111.237.147","Male","(24-34]","Less than ₹60,000","Christianity","(05) Some Graduate or Higher 05","(6) Others 6","Not sure at this point in time","No","Communist Party of India",NA,"SubjectPool"
"2019-03-08","Kerala","117.230.13.93","Female","(24-34]","₹90,000 - ₹1,19,999","Hinduism","(05) Some Graduate or Higher 05",NA,"Not sure at this point in time","No","Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08","Tamil Nadu","157.50.20.38","Female","(17-24]","₹90,000 - ₹1,19,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes",NA,"All India Anna Dravida Munnetra Kazhagam",NA,"SubjectPool"
"2019-03-08","Jammu and Kashmir","169.149.18.85","Male","(24-34]","Less than ₹60,000","Islam","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Not sure at this point in time",NA,"Independent Candidate",NA,"SubjectPool"
"2019-03-08","Gujarat","112.110.65.216","Male","(24-34]","Less than ₹60,000","Hinduism","(05) Some Graduate or Higher 05","(4) Scheduled Castes (SC) 4","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Maharashtra","182.56.66.118","Female","(44-54]","₹60,000 - ₹89,999","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","India National Congress","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Rajasthan","157.37.244.86","Male","(24-34]","₹1,20,000 - ₹2,39,999","Jainism","(05) Some Graduate or Higher 05","(6) Others 6","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Karnataka","223.237.253.190","Female","(17-24]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Yes",NA,"Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08",NA,"36.255.22.70","",NA,"","",NA,NA,NA,NA,NA,NA,"SubjectPool"
"2019-03-08","Assam","47.29.240.236","Male","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05",NA,"No","Yes","Independent Candidate","Independent Candidate","SubjectPool"
"2019-03-08","Tamil Nadu","106.206.35.205","Male","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(6) Others 6","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Telangana","183.83.163.77","Male","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","No","No","Lok Satta",NA,"SubjectPool"
"2019-03-08","Bihar","157.46.72.235","Female","(34-44]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Not sure at this point in time","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Madya Pradesh","42.111.14.182","Male","(34-44]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Chandigarh","157.36.116.187","Male","(24-34]","₹2,40,000 - ₹5,99,999","Christianity","(05) Some Graduate or Higher 05","(6) Others 6","Yes","Yes","Aam Aadmi Party","Aam Aadmi Party","SubjectPool"
"2019-03-08","Uttar Pradesh","49.35.251.14","Female","(44-54]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Delhi","106.210.100.144","Male","(24-34]","Less than ₹60,000","Islam","(02) Primary or Lower 02","(6) Others 6","Not sure at this point in time","Yes",NA,"India National Congress","SubjectPool"
"2019-03-08","Maharashtra","49.36.1.230","Female","(17-24]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(6) Others 6","Not sure at this point in time",NA,"Communist Party of India",NA,"SubjectPool"
"2019-03-08","Uttar Pradesh","223.185.155.155","Male","(17-24]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Yes",NA,NA,NA,"SubjectPool"
"2019-03-08","Haryana","49.207.130.145","Male","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(3) Other Backward Castes (OBC) 3","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Madya Pradesh","47.247.252.140","Male","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(4) Scheduled Castes (SC) 4","Yes","Yes","Bahujan Samaj Party","India National Congress","SubjectPool"
"2019-03-08","Karnataka","122.164.241.249","Female","(44-54]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08",NA,"42.109.240.112","",NA,"","",NA,NA,NA,NA,NA,NA,"SubjectPool"
"2019-03-08","Gujarat","103.252.26.91","Female","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","No","Yes","Independent Candidate","Independent Candidate","SubjectPool"
"2019-03-08","Jharkhand","49.34.70.136","Male","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(4) Scheduled Castes (SC) 4","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Andra Pradesh","103.49.53.66","Female","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05",NA,"Yes","Yes","YSR Congress Party","YSR Congress Party","SubjectPool"
"2019-03-08","Rajasthan","223.185.131.128","Male","(24-34]","₹90,000 - ₹1,19,999","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Maharashtra","49.35.51.191","Male","(24-34]","₹60,000 - ₹89,999","Islam","(05) Some Graduate or Higher 05","(6) Others 6","Yes","Yes","Nationalist Congress Party","Aam Aadmi Party","SubjectPool"
"2019-03-08","Madya Pradesh","59.93.220.92","Male","(24-34]","Less than ₹60,000","Jainism","(05) Some Graduate or Higher 05","(6) Others 6","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08",NA,"223.182.209.204","",NA,"","",NA,NA,NA,NA,NA,NA,"SubjectPool"
"2019-03-08","Maharashtra","106.220.170.235","Male","(24-34]","₹1,20,000 - ₹2,39,999","Hinduism","(05) Some Graduate or Higher 05","(6) Others 6","Yes",NA,"Aam Aadmi Party",NA,"SubjectPool"
"2019-03-08","Uttar Pradesh","125.99.24.4","Female","(34-44]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Uttar Pradesh","47.9.125.53","Male","(34-44]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05",NA,"Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Tamil Nadu","106.197.201.212","Female","(17-24]","₹6,00,000 and over","Jainism","(05) Some Graduate or Higher 05","(6) Others 6","Not sure at this point in time",NA,"Bahujan Samaj Party",NA,"SubjectPool"
"2019-03-08","Delhi","122.177.210.86","Female","(24-34]","₹60,000 - ₹89,999","Jainism","(05) Some Graduate or Higher 05",NA,"Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Madya Pradesh","182.68.108.242","Female","(17-24]","₹6,00,000 and over","Jainism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes",NA,"Aam Aadmi Party",NA,"SubjectPool"
"2019-03-08","Jammu and Kashmir","169.149.8.174","Male","(24-34]","₹90,000 - ₹1,19,999","Islam","(05) Some Graduate or Higher 05",NA,"No","No","Jammu & Kashmir National Conference",NA,"SubjectPool"
"2019-03-08","Tamil Nadu","157.50.114.65","Male","(17-24]","Less than ₹60,000","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Not sure at this point in time",NA,"Dravida Munnetra Kazhagam",NA,"SubjectPool"
"2019-03-08",NA,"120.58.103.237","",NA,"","",NA,NA,NA,NA,NA,NA,"SubjectPool"
"2019-03-08","Madya Pradesh","223.184.51.132","Male","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Jharkhand","157.42.22.84","Male","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes",NA,"Jharkhand Mukti Morcha",NA,"SubjectPool"
"2019-03-08","Haryana","103.70.165.58","Male","(24-34]","₹2,40,000 - ₹5,99,999","Hinduism","(05) Some Graduate or Higher 05","(6) Others 6","Yes","Yes","Aam Aadmi Party","Aam Aadmi Party","SubjectPool"
"2019-03-08","Kerala","47.9.212.251","Male","(24-34]","₹2,40,000 - ₹5,99,999","Christianity","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","India National Congress","India National Congress","SubjectPool"
"2019-03-08","Bihar","106.209.187.66","Male","(17-24]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes",NA,"Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08","Maharashtra","103.16.34.174","Female","(24-34]","₹90,000 - ₹1,19,999","Hinduism","(05) Some Graduate or Higher 05",NA,"Yes",NA,"Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08","Karnataka","157.49.212.188","Female","(24-34]","₹2,40,000 - ₹5,99,999","Christianity","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Karnataka","1.39.153.206","Female","(24-34]","₹2,40,000 - ₹5,99,999","Jainism","(05) Some Graduate or Higher 05",NA,"Yes",NA,"India National Congress",NA,"SubjectPool"
"2019-03-08","Chhattisgarh","157.37.249.211","Male","(17-24]","₹90,000 - ₹1,19,999","Hinduism","(05) Some Graduate or Higher 05",NA,"Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Jharkhand","117.218.7.98","Female","(24-34]","₹60,000 - ₹89,999","Hinduism","(05) Some Graduate or Higher 05","(6) Others 6","Yes",NA,"Bharatiya Janata Party",NA,"SubjectPool"
"2019-03-08","Madya Pradesh","157.34.125.138","Male","(24-34]","₹60,000 - ₹89,999","Hinduism","(05) Some Graduate or Higher 05","(2) Forward/General (except Brahmin) 2","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Rajasthan","1.39.212.97","Male","(24-34]","₹6,00,000 and over","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
"2019-03-08","Madya Pradesh","14.139.241.203","Male","(17-24]","₹90,000 - ₹1,19,999","Hinduism","(05) Some Graduate or Higher 05","(1) Brahmin 1","Yes","Yes","Bharatiya Janata Party","Bharatiya Janata Party","SubjectPool"
