states,rurality,age_cat,education_level,gender,totcount,zones
(02) Himachal Pradesh 02,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,   3725,(01) North 01
(02) Himachal Pradesh 02,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1,   5309,(01) North 01
(02) Himachal Pradesh 02,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1,   5154,(01) North 01
(02) Himachal Pradesh 02,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1,   4089,(01) North 01
(02) Himachal Pradesh 02,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,   2665,(01) North 01
(02) Himachal Pradesh 02,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,   3319,(01) North 01
(03) Punjab 03,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1, 171966,(01) North 01
(03) Punjab 03,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1, 283667,(01) North 01
(03) Punjab 03,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1, 358417,(01) North 01
(03) Punjab 03,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1, 335375,(01) North 01
(03) Punjab 03,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1, 271200,(01) North 01
(03) Punjab 03,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1, 436167,(01) North 01
(03) Punjab 03,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,  92744,(01) North 01
(03) Punjab 03,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1, 136311,(01) North 01
(03) Punjab 03,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1, 140057,(01) North 01
(03) Punjab 03,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1, 117872,(01) North 01
(03) Punjab 03,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,  75453,(01) North 01
(03) Punjab 03,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,  90012,(01) North 01
(04) Chandigarh 04,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,    415,(01) North 01
(04) Chandigarh 04,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,    575,(01) North 01
(04) Chandigarh 04,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,    437,(01) North 01
(04) Chandigarh 04,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,    245,(01) North 01
(04) Chandigarh 04,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1,    148,(01) North 01
(04) Chandigarh 04,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1,    145,(01) North 01
(04) Chandigarh 04,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,   7378,(01) North 01
(04) Chandigarh 04,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1,  11149,(01) North 01
(04) Chandigarh 04,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1,  11938,(01) North 01
(04) Chandigarh 04,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1,   8678,(01) North 01
(04) Chandigarh 04,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,   4642,(01) North 01
(04) Chandigarh 04,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,   3478,(01) North 01
(05) Uttarakhand 05,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,  35476,(02) North-Central 02
(05) Uttarakhand 05,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,  60007,(02) North-Central 02
(05) Uttarakhand 05,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,  75161,(02) North-Central 02
(05) Uttarakhand 05,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,  66934,(02) North-Central 02
(05) Uttarakhand 05,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1,  63754,(02) North-Central 02
(05) Uttarakhand 05,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1,  80951,(02) North-Central 02
(05) Uttarakhand 05,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,  23428,(02) North-Central 02
(05) Uttarakhand 05,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1,  32660,(02) North-Central 02
(05) Uttarakhand 05,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1,  33631,(02) North-Central 02
(05) Uttarakhand 05,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1,  25209,(02) North-Central 02
(05) Uttarakhand 05,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,  16703,(02) North-Central 02
(05) Uttarakhand 05,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,  15517,(02) North-Central 02
(06) Haryana 06,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1, 125122,(01) North 01
(06) Haryana 06,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1, 203936,(01) North 01
(06) Haryana 06,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1, 264687,(01) North 01
(06) Haryana 06,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1, 242535,(01) North 01
(06) Haryana 06,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1, 217325,(01) North 01
(06) Haryana 06,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1, 296226,(01) North 01
(06) Haryana 06,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,  65355,(01) North 01
(06) Haryana 06,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1,  97375,(01) North 01
(06) Haryana 06,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1, 101185,(01) North 01
(06) Haryana 06,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1,  79831,(01) North 01
(06) Haryana 06,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,  55093,(01) North 01
(06) Haryana 06,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,  58555,(01) North 01
(07) Delhi 07,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,   2958,(02) North-Central 02
(07) Delhi 07,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,   4466,(02) North-Central 02
(07) Delhi 07,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,   5039,(02) North-Central 02
(07) Delhi 07,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,   3633,(02) North-Central 02
(07) Delhi 07,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1,   2436,(02) North-Central 02
(07) Delhi 07,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1,   2825,(02) North-Central 02
(07) Delhi 07,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1, 121453,(02) North-Central 02
(07) Delhi 07,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1, 192165,(02) North-Central 02
(07) Delhi 07,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1, 188426,(02) North-Central 02
(07) Delhi 07,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1, 136418,(02) North-Central 02
(07) Delhi 07,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,  86114,(02) North-Central 02
(07) Delhi 07,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,  67775,(02) North-Central 02
(08) Rajasthan 08,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1, 529391,(01) North 01
(08) Rajasthan 08,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1, 908920,(01) North 01
(08) Rajasthan 08,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,1107070,(01) North 01
(08) Rajasthan 08,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,1054672,(01) North 01
(08) Rajasthan 08,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1, 778554,(01) North 01
(08) Rajasthan 08,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1, 839191,(01) North 01
(08) Rajasthan 08,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1, 154652,(01) North 01
(08) Rajasthan 08,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1, 218302,(01) North 01
(08) Rajasthan 08,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1, 214938,(01) North 01
(08) Rajasthan 08,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1, 174309,(01) North 01
(08) Rajasthan 08,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1, 110039,(01) North 01
(08) Rajasthan 08,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1, 111929,(01) North 01
(09) Uttar Pradesh 09,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,1820391,(02) North-Central 02
(09) Uttar Pradesh 09,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,2827480,(02) North-Central 02
(09) Uttar Pradesh 09,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,3163986,(02) North-Central 02
(09) Uttar Pradesh 09,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,2430962,(02) North-Central 02
(09) Uttar Pradesh 09,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1,2121466,(02) North-Central 02
(09) Uttar Pradesh 09,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1,2431468,(02) North-Central 02
(09) Uttar Pradesh 09,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1, 729091,(02) North-Central 02
(09) Uttar Pradesh 09,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1, 820453,(02) North-Central 02
(09) Uttar Pradesh 09,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1, 778029,(02) North-Central 02
(09) Uttar Pradesh 09,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1, 563456,(02) North-Central 02
(09) Uttar Pradesh 09,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1, 377022,(02) North-Central 02
(09) Uttar Pradesh 09,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1, 329490,(02) North-Central 02
(10) Bihar 10,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,1490876,(02) North-Central 02
(10) Bihar 10,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,2355486,(02) North-Central 02
(10) Bihar 10,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,2294991,(02) North-Central 02
(10) Bihar 10,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,1722424,(02) North-Central 02
(10) Bihar 10,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1,1335151,(02) North-Central 02
(10) Bihar 10,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1,1297974,(02) North-Central 02
(10) Bihar 10,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1, 143922,(02) North-Central 02
(10) Bihar 10,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1, 199339,(02) North-Central 02
(10) Bihar 10,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1, 185547,(02) North-Central 02
(10) Bihar 10,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1, 135160,(02) North-Central 02
(10) Bihar 10,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,  96123,(02) North-Central 02
(10) Bihar 10,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,  87303,(02) North-Central 02
(11) Sikkim 11,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,   3397,(04) Eastern 04
(11) Sikkim 11,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,   6054,(04) Eastern 04
(11) Sikkim 11,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,   5943,(04) Eastern 04
(11) Sikkim 11,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,   7263,(04) Eastern 04
(11) Sikkim 11,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1,   6264,(04) Eastern 04
(11) Sikkim 11,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1,   7569,(04) Eastern 04
(11) Sikkim 11,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,    830,(04) Eastern 04
(11) Sikkim 11,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1,   1378,(04) Eastern 04
(11) Sikkim 11,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1,   1355,(04) Eastern 04
(11) Sikkim 11,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1,   1203,(04) Eastern 04
(11) Sikkim 11,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,    808,(04) Eastern 04
(11) Sikkim 11,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,    870,(04) Eastern 04
(12) Arunachal Pradesh 12,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,  15279,(03) North-Eastern 03
(12) Arunachal Pradesh 12,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,  25223,(03) North-Eastern 03
(12) Arunachal Pradesh 12,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,  26472,(03) North-Eastern 03
(12) Arunachal Pradesh 12,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,  24540,(03) North-Eastern 03
(12) Arunachal Pradesh 12,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1,  17761,(03) North-Eastern 03
(12) Arunachal Pradesh 12,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1,  14026,(03) North-Eastern 03
(12) Arunachal Pradesh 12,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,   2127,(03) North-Eastern 03
(12) Arunachal Pradesh 12,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1,   3917,(03) North-Eastern 03
(12) Arunachal Pradesh 12,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1,   3989,(03) North-Eastern 03
(12) Arunachal Pradesh 12,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1,   3047,(03) North-Eastern 03
(12) Arunachal Pradesh 12,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,   1655,(03) North-Eastern 03
(12) Arunachal Pradesh 12,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,    914,(03) North-Eastern 03
(13) Nagaland 13,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,  19158,(03) North-Eastern 03
(13) Nagaland 13,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,  24196,(03) North-Eastern 03
(13) Nagaland 13,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,  22241,(03) North-Eastern 03
(13) Nagaland 13,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,  19953,(03) North-Eastern 03
(13) Nagaland 13,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1,  13525,(03) North-Eastern 03
(13) Nagaland 13,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1,  15860,(03) North-Eastern 03
(13) Nagaland 13,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,   4229,(03) North-Eastern 03
(13) Nagaland 13,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1,   7250,(03) North-Eastern 03
(13) Nagaland 13,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1,   5936,(03) North-Eastern 03
(13) Nagaland 13,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1,   4158,(03) North-Eastern 03
(13) Nagaland 13,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,   2127,(03) North-Eastern 03
(13) Nagaland 13,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,   1822,(03) North-Eastern 03
(14) Manipur 14,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,  23112,(03) North-Eastern 03
(14) Manipur 14,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,  34869,(03) North-Eastern 03
(14) Manipur 14,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,  31602,(03) North-Eastern 03
(14) Manipur 14,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,  29165,(03) North-Eastern 03
(14) Manipur 14,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1,  21213,(03) North-Eastern 03
(14) Manipur 14,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1,  21369,(03) North-Eastern 03
(14) Manipur 14,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,   3150,(03) North-Eastern 03
(14) Manipur 14,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1,   6536,(03) North-Eastern 03
(14) Manipur 14,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1,   6293,(03) North-Eastern 03
(14) Manipur 14,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1,   5712,(03) North-Eastern 03
(14) Manipur 14,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,   4459,(03) North-Eastern 03
(14) Manipur 14,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,   6405,(03) North-Eastern 03
(15) Mizoram 15,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,   4137,(03) North-Eastern 03
(15) Mizoram 15,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,   5300,(03) North-Eastern 03
(15) Mizoram 15,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,   4151,(03) North-Eastern 03
(15) Mizoram 15,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,   3723,(03) North-Eastern 03
(15) Mizoram 15,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1,   2573,(03) North-Eastern 03
(15) Mizoram 15,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1,   2156,(03) North-Eastern 03
(15) Mizoram 15,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,    887,(03) North-Eastern 03
(15) Mizoram 15,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1,   1482,(03) North-Eastern 03
(15) Mizoram 15,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1,   1228,(03) North-Eastern 03
(15) Mizoram 15,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1,    998,(03) North-Eastern 03
(15) Mizoram 15,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,    597,(03) North-Eastern 03
(15) Mizoram 15,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,    698,(03) North-Eastern 03
(16) Tripura 16,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,  16085,(03) North-Eastern 03
(16) Tripura 16,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,  28857,(03) North-Eastern 03
(16) Tripura 16,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,  30960,(03) North-Eastern 03
(16) Tripura 16,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,  31588,(03) North-Eastern 03
(16) Tripura 16,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1,  21850,(03) North-Eastern 03
(16) Tripura 16,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1,  25453,(03) North-Eastern 03
(16) Tripura 16,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,   3616,(03) North-Eastern 03
(16) Tripura 16,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1,   6858,(03) North-Eastern 03
(16) Tripura 16,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1,   7629,(03) North-Eastern 03
(16) Tripura 16,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1,   7388,(03) North-Eastern 03
(16) Tripura 16,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,   4729,(03) North-Eastern 03
(16) Tripura 16,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,   4648,(03) North-Eastern 03
(17) Meghalaya 17,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1,  37750,(03) North-Eastern 03
(17) Meghalaya 17,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,  54825,(03) North-Eastern 03
(17) Meghalaya 17,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,  48273,(03) North-Eastern 03
(17) Meghalaya 17,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,  37723,(03) North-Eastern 03
(17) Meghalaya 17,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1,  21492,(03) North-Eastern 03
(17) Meghalaya 17,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1,  18644,(03) North-Eastern 03
(17) Meghalaya 17,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,   2998,(03) North-Eastern 03
(17) Meghalaya 17,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1,   5312,(03) North-Eastern 03
(17) Meghalaya 17,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1,   4781,(03) North-Eastern 03
(17) Meghalaya 17,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1,   3733,(03) North-Eastern 03
(17) Meghalaya 17,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,   2087,(03) North-Eastern 03
(17) Meghalaya 17,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,   1873,(03) North-Eastern 03
(18) Assam 18,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1, 376367,(03) North-Eastern 03
(18) Assam 18,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1, 629570,(03) North-Eastern 03
(18) Assam 18,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1, 622742,(03) North-Eastern 03
(18) Assam 18,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1, 491934,(03) North-Eastern 03
(18) Assam 18,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1, 291672,(03) North-Eastern 03
(18) Assam 18,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1, 259885,(03) North-Eastern 03
(18) Assam 18,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1,  24676,(03) North-Eastern 03
(18) Assam 18,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1,  45309,(03) North-Eastern 03
(18) Assam 18,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1,  49127,(03) North-Eastern 03
(18) Assam 18,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1,  39867,(03) North-Eastern 03
(18) Assam 18,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1,  22787,(03) North-Eastern 03
(18) Assam 18,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1,  19517,(03) North-Eastern 03
(19) West Bengal 19,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1, 675531,(04) Eastern 04
(19) West Bengal 19,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1,1159247,(04) Eastern 04
(19) West Bengal 19,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1,1393222,(04) Eastern 04
(19) West Bengal 19,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1,1220622,(04) Eastern 04
(19) West Bengal 19,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1, 751383,(04) Eastern 04
(19) West Bengal 19,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1, 633964,(04) Eastern 04
(19) West Bengal 19,(1) urban 1,(17-24],(01) No Formal Edu 01,(1) Male 1, 214300,(04) Eastern 04
(19) West Bengal 19,(1) urban 1,(24-34],(01) No Formal Edu 01,(1) Male 1, 353093,(04) Eastern 04
(19) West Bengal 19,(1) urban 1,(34-44],(01) No Formal Edu 01,(1) Male 1, 398727,(04) Eastern 04
(19) West Bengal 19,(1) urban 1,(44-54],(01) No Formal Edu 01,(1) Male 1, 342716,(04) Eastern 04
(19) West Bengal 19,(1) urban 1,(54-64],(01) No Formal Edu 01,(1) Male 1, 214169,(04) Eastern 04
(19) West Bengal 19,(1) urban 1,(64-100],(01) No Formal Edu 01,(1) Male 1, 184624,(04) Eastern 04
(20) Jharkhand 20,(0) rural 0,(17-24],(01) No Formal Edu 01,(1) Male 1, 309987,(04) Eastern 04
(20) Jharkhand 20,(0) rural 0,(24-34],(01) No Formal Edu 01,(1) Male 1, 566136,(04) Eastern 04
(20) Jharkhand 20,(0) rural 0,(34-44],(01) No Formal Edu 01,(1) Male 1, 598647,(04) Eastern 04
(20) Jharkhand 20,(0) rural 0,(44-54],(01) No Formal Edu 01,(1) Male 1, 515024,(04) Eastern 04
(20) Jharkhand 20,(0) rural 0,(54-64],(01) No Formal Edu 01,(1) Male 1, 386647,(04) Eastern 04
(20) Jharkhand 20,(0) rural 0,(64-100],(01) No Formal Edu 01,(1) Male 1, 333724,(04) Eastern 04
